,original,translation
11,"Termenul ""bolnavul Europei"" ilustrează destul de exact aceste stări de fapt.",The term 'sick of Europe' illustrates quite precisely these states of fact.
2109,"Caligula a început să apară în public îmbrăcat în diverși zei și semizei, cum ar fi Hercules, Mercur, Venus și Apollo.","The caligula has started to appear in public coated with various sis and semester, such as Hercules, Mercury, Venus and Apollo."
8,"În mai 1915, Italia invadeză Austria și pierde 200.000 de soldați.","In May 1915, Italy invaded Austria and lost 200 000 soldiers."
4415,Generalul Kornilov a fost numit comandant suprem de Kerenski.,General Kornilov was appointed as Supreme Commander of Kerenski.
3691,"În momentul intrării în război a Italiei, erau mobilizați peste 1.500.000 de oameni.","At the time of Italy's war, more than 1.500.000 people were mobilised."
4823,"erau singurul trib despre care se știe că locuia pe insulă în acest moment și, în general, este considerat a fi strâns legat de .",they were the only trib known to live on the island at the moment and is generally considered to be closely linked.
2784,"În condițiile creșterii schimburilor comerciale din secolul XIII, a reapărut moneda de aur, Florinul la Florența sau Ducatul la Veneția.","Against a backdrop of growing trade in the XIII century, the gold currency, the Florine in Florence or the Duct of Venice, reappeared."
1989,Propunerea a fost acceptată de Iran după câteva zile.,The proposal was accepted by Iran a few days later.
3584,"Han și Chewbacca îl găsesc pe Lando și îl provoacă la un meci de sabacc de revanșă, din nou cu Șoimul ca miză.",Han and Chewbacca find on the Lando and bring it to a sabacc revain match with the falcon once again as a stake.
6651,"Olandezii au început pregătirile pentru război, atât pe plan material cât și pe cel al întăririi moralului.","The people began their preparations for the war, both materially and in strengthening morals."
5651,Britanicii au forțat gardienii SS rămași în lagăr să adune cadavrele și să le îngroape în gropi comune.,The British forced SS guards left in the camp to pick up the bodies and bury them in joint horns.
6653,Genul Malus cuprinde numeroase specii răspândite în emisfera nordică.,Genus Malus comprises numerous species spread in the northern hemisphere.
2299,"Lucrările celor din urmă afișau o artă mai variată și mai amplă, o artă care valorifica învățămintele trecutului.","The work of the latter showed more extensive and varied art, an art that makes use of the lessons of the past."
1954,"Astfel Ezra se sacrifică și dispare împreună cu Thrawn, după ce meduzele zboară prin hiperspațiu spre o locație complet aleatorie și necunoscută.","This makes it sacrifices and disappears together with Thrawn, after the meats fly by hyperspace to an entirely random and unknown location."
3305,"Astfel, la 25 ianuarie 1475, a emis o scrisoare care a circulat la toți monarhii creștini din Europa.","Thus, on 25 January 1475, he issued a letter which moved on to all Christian monarchs in Europe."
1009,Dronele militare capabile de acțiune autonomă sunt considerate pe scară largă o dotare utilă.,Military helmets capable of self-contained action are widely considered a useful fitting.
959,"Alți mari pictori/scriitori moderniști au fost și , prieten al poetului Fernando Pessoa, și care a pictat portretul acestuia.","Other big pictors / moderate writers were and, a friend of the Fernando Pessoa poet, who painted his portrait."
1328,Masculii își părăsesc grupurile familiale atunci când ajung la pubertate și pot trăi singuri sau cu alți masculi.,Males leave their family when they reach puberty and can live alone or with other males.
4980,"În cele din urmă, Rossmann devine un destoinic liftier la Hotel Occidental.",Rossmann is ultimately becoming a destoiner of the lift at Western Hotel.
6018,Combatanții în zilele în care nu luptau nu aveau o altă ocupație decat sa scrie si sa trimita corespondență.,Dealers on days when they did not fight had no other decent occupation write and send correspondence.
1965,Pentru Weizenbaum aceste idei sugerează că cercetarea IA ar devaloriza viața umană.,For Weizenbaum these ideas suggest that research IA would devalue human life.
3315,Anii 2000 au adus o revigorare a scenei mainstream și apariția unui număr mare de formații notabile.,"For years 2000, we have brought about a revival of the mainstream and the emergence of a large number of notable formations."
481,"Alteori, în unul din colțuri este plasat pe lângă aceste obiecte străine și un obiect de storyline, care odată obținut garantează victoria.","Sometimes in one corner is placed alongside these foreign objects and an object of storyline, which once obtained guarantees victory."
1023,Congresul are calitatean necesară de a determina politică externă americană.,Congress has the necessary quality of determining US foreign policy.
5658,"Croația are un sistem juridic cu trei niveluri, format din Curtea Supremă, Curțile Cantonale și cele municipale.","Croatia has a three-tier legal system consisting of the Supreme Court, Cantonal and municipal courts."
702,Una din pantere avea coada și o parte din spate lipsă.,One panic had a tail and a part of the back missing.
4419,"Truman, Eisenhower, în parte dar nu total Lyndon Johnson, Ford, Bush Sr sunt președinții care au adoptat în totalitate sau parțial acest model.","Truman, Eisenhower, partly but not totally Lyndon Johnson, Ford, Bush Sr, is the chairpersons who have adopted all or part of this model."
4732,"Ca urmare la acest proces, SUA a ocupat teritoriile Indienilor americani.","As a result of this process, the USA occupied the territories of US India."
3150,Se pare că se bazează pe oasele picioarelor și umerilor pentru a transmite semnalele la urechea mijlocie.,It appears that it is based on bones of the feet and shoulders to transmit the signals to the middle ear.
2267,Arta asiriană se întâlnește și înflorește în orașe importante ca Assur și Ninive.,Asiatic arts meet and flourish in major cities such as Assur and Ninive.
