,original,translation
5433,CIvilizațiile alcătuite astfel au stagnat și au decăzut.,The CIvilisations thus formed stagnated and dared.  ,  Lexical error
4543,"Ephialtes inițiază reforme radicale, marcând sfârșitul colaborării dintre cele două cetăți.","Ephialtes is initiating radical reforms, marking the end of collaboration between the two stop." ,   Lexical error
716,"După moartea acestuia, a urmat începutul unui declin lent.","After its death, it followed the beginning of a slow decline." ,   Good translation
1281,În acest an populația orașului a fost evaluată la aproximativ 80.000 de locuitori.,This year the city's population has been valued at around 80.000 inhabitants. ,  Good translation
2476,Aliații au înregistrat un succes parțial la Narvik.,Aliases have been a partial success in Narvik., Lexical error
479,Ginere al primului preot din Plevna și frate al marelui interpret de operă,Instruction of the first priest in Plevna and brother of the large interpreter of the work ,  Lexical error
2915,"Deasupra, între patru amorași, sunt două statui ținând câte o tavă în mână, simbolizând donatorii.","Above, between four primers, there are two statues holding a tray in their hands, symbolising donors." ,  Good translation
5614,"A fost lansată inițiativa americană Planul Marshall, prin care Marea Britanie a primit mărfuri în valoare de 2,35 de miliarde $.","The US initiative has been launched the Marshall Plan, whereby Britain has received cargo to the value of 2.35 billion $." ,Grammatical error
3370,"Se cântă corinda caprei, apoi aceasta este invitată să intre înăuntru.",Song the corner and then be invited to enter the corner. ,Lexical error
2373,O lege de anexare a Texasului a fost adoptată de Congres în februarie și promulgată de Tyler la 1 martie.,A law enclosing the Texaset was adopted by Congress in February and promulgated by Tyler on 1 March., Lexical error
1716,"La data de 1 octombrie 1949, președintele Partidului Comunist Mao Zedong a proclamat crearea Republicii Populare Chineze.","On 1 October 1949, the Chairman of the Mao Zedong Communist Party proclaimed the creation of the People's Republic of China.", Grammatical error
5453,"Poeții își publică cărțile în tiraje restrânse, beneficiind de cronici critice aleatorii, datorită insuficienței unei difuzări corecte.","Posts publish their books in restricted typescripts, benefiting from a critical random chrome, due to the lack of proper broadcasting.", Lexical error
6184,"Drept represalii, Austria, care era susținută de Germania, pe 23 iulie, adresează un ultimatum Serbiei.","In retaliation, Austria, which was supported by Germany on 23 July, addressed an ultimatum to Serbia.",  Good translation
5530,Unitățile Fallschirmjäger au folosit dispozitive explozive și aruncătoare de flăcări pentru anihilarea apărării.,Fallschirmjäger units have used explosive devices and flame throwers for defence anniversary. ,Lexical error
3831,"În relațiile externe, domnul reprezenta țara față de suveranii străini.","In external relations, Mr represented the country vis-à-vis foreign governments."  , Lexical error
5784,Aceștia erau datori domnitorului cu serviciul militar și erau puși în dregătorii.,They were indebtedness to the domer of military service and were laid in the dregers.  ,  Grammatical error, Lexical error
2441,Ordinea de bătaie a RAF includea; nouă Hurricane a escadrilei No.,The order of beating the RAF included; nine Hurricane of escadrilei No ,  Lexical error, Grammatical error
1674,"În dimineața unei zile de august, în 1917, la ora cinci, Kafka începe să tușească cu sânge, din cauza unei hemoragii a plămânilor.","On the morning of August, in 1917, Kafka began to talk with blood because of a haemorrhage of the lungs." ,   Lexical error
3001,"Începând din 2014, țara negociază aderarea la UE cu perspectiva aderării la Uniunea Europeană până în 2025.","From 2014, the country is negotiating accession to the EU with a view to accession to the European Union by 2025." , Good translation
713,"Florile sunt cu 4 sepale și 4 petale libere așezate față în față în formă de cruce, de unde și denumirea veche a familiei.","The flowers are 4 sepals and 4 free petals facing each other in cross shape, hence also the old family name.", Good translation
2218,"împroprietăriri3), drept pentru care, până în ziua de azi, multe",or [- animal by-products and animal by-products not intended for human consumption;]   , Lexical error
5215,Francezii au fost invitați să asigure apărarea acestei breșe.,The French have been invited to defend this breach.  ,Good translation
0,"După doar 200 de metri, ajungem la Foișorul Bătrânei, acoperit cu brădet tânăr și rărit, de unde se poate admira priveliștea.","Only 200 metres later, we arrive at the Former Bandy, covered with young rind, from where to admit the cloak." ,  Lexical error
6209,a fost oprită la frontiera antebelică a Estoniei de Grupul de Armate Nord german sprijinit de în speranța de .,Estonia's antesian border was stopped by the German Northern Armed Group supported in hope. Lexical error
1379,thumbleft250pxÎn Europa au fost înființate [[ghetouri în care evreii au fost închiși înainte de a fi trimiși în lagăre de concentrare.,Thumbleft250pxIn Europe was established ((ghettos where Jews were imprisoned before being sent to concentration camps)., Grammatical error
3626,Este considerat a fi un important dispersator de semințe.,It is considered to be an important seed disperder. , Good translation
4488,La câteva zile după încheierea acelei ediții a Turului Franței au apărut primele benzi magnetice cu imagini din competiție.,"A few days after the end of that Turkish Turkish edition, the first image magnetic tapes in the competition appeared." ,   Lexical error
3768,"În Cartagina ei făceau schimburi de mărfuri cu localnici africani, cumpărând fildeș prețios, piei de animale și lemn.","In Carthage, she exchanged commodities with African locals, buying valuable ivory, animal skins and wood."  ,  Grammatical error
3692,"Tema grupului muzical este ""Anonim"" pe măsura ce interpretează cu chipuri pictate, hoodies și ochelari de soare.","The theme of the music group is ""Anonymous"" as spotted, hoodies and sun spectacles appear." , Lexical error  
1616,Guvernul Bulgar a semnat un armistițiu cu Aliații la Moscova pe 28 octombrie 1944.,The Bulgarian Government signed an armistitium with the Alliance of Moscow on 28 October 1944. ,Good translation,
1651,"Kafka îi arată abia în 1905 lui Max Brod noua sa povestire, iar acesta se arată încântat, crezând că descifrează în ea sămânța geniului.","It is only in 1905 that Kafka is showing Max Brod his new story, and he is showing great pleasure in believing that he is destroying gender seed in her." , Lexical error
973,"Ancheta a fost mușamalizată, pentru a nu periclita susținerea militară a Irakului de către SUA.",The investigation was skirted so as not to jeopardise the US's military support to Iraq. , Lexical error
6077,"Se introduce votul universal, Finlanda fiind prima țară din Europa în care au votat femeile.","The universal vote is being introduced, as Finland is the first country in Europe to which women have voted." , Good translation
4078,Ea are ca aliat Rezistența condusă de Generalul Leia Organa.,It is allied with General Leia Organa.,   Lexical error
2041,[[Smântână_Smântâna]] se adaugă de multe ori la supe și salate.,Cream _ Cream is often added to soups and salads.  ,Good translation
5760,Cronicile serveau ca material de propagandă în secolul XV.,Cronicles used as material for propaganda in the 15th century.,  Grammatical error
1808,Trei dintre marile limbi ale Europei sunt oficiale în Elveția.,Three of Europe's big languages are official in Switzerland.  , Good translation
5775,Criză raționalismului ia amploare și popularitatea absurdului crește.,Crisis of rationalism is increasing and nonsense popularity is increasing.  , Good translation
6336,"Gâscan și o altă expoziție, de cărti și publicații despre satul Dobridor, despre oamenii","Turbot and other exhibition, book, and publications about the village of Dobridor, about the people." , Lexical error
3874,"În 272 î.Hr., Tarentul a capitulat și este jefuit, romanii cunoscând vesela de lux a grecilor și sculpturile lor magistrale, i se","In 272 Hr., the Tarent capitulated and is jetted, the Romans knowing the luxury tableware of the Greeks and their thoroughfare carvings, are given"  ,Lexical error 
3217,Aproape fiecare proprietar de pământ scoțian care a avut bani puși deoparte a investit în .,Nearly every Scottish land owner who had money set aside invested in it. ,Good translation
292,"Departamentul de stat are o structura piramidală, fiind o birocrație clasică.","The state department has a pyramid structure, being a classic bureaucracy."   , Good translation
2938,"Venitul total al turismului pentru 2011 a fost estimat la 6,61 miliarde euro.",The total tourism revenue for 2011 was estimated at EUR 6.61 billion. , Good translation
11,"Termenul ""bolnavul Europei"" ilustrează destul de exact aceste stări de fapt.",The term 'sick of Europe' illustrates quite precisely these states of fact. ,Good translation
2109,"Caligula a început să apară în public îmbrăcat în diverși zei și semizei, cum ar fi Hercules, Mercur, Venus și Apollo.","The caligula has started to appear in public coated with various sis and semester, such as Hercules, Mercury, Venus and Apollo." ,Lexical error
8,"În mai 1915, Italia invadeză Austria și pierde 200.000 de soldați.","In May 1915, Italy invaded Austria and lost 200 000 soldiers."  ,Grammatical error
4415,Generalul Kornilov a fost numit comandant suprem de Kerenski.,General Kornilov was appointed as Supreme Commander of Kerenski. ,Grammatical error
3691,"În momentul intrării în război a Italiei, erau mobilizați peste 1.500.000 de oameni.","At the time of Italy's war, more than 1.500.000 people were mobilised."  ,  Grammatical error
4823,"erau singurul trib despre care se știe că locuia pe insulă în acest moment și, în general, este considerat a fi strâns legat de .",they were the only trib known to live on the island at the moment and is generally considered to be closely linked.   , Good translation
2784,"În condițiile creșterii schimburilor comerciale din secolul XIII, a reapărut moneda de aur, Florinul la Florența sau Ducatul la Veneția.","Against a backdrop of growing trade in the XIII century, the gold currency, the Florine in Florence or the Duct of Venice, reappeared."   , Lexical error
1989,Propunerea a fost acceptată de Iran după câteva zile.,The proposal was accepted by Iran a few days later. ,Good translation
3584,"Han și Chewbacca îl găsesc pe Lando și îl provoacă la un meci de sabacc de revanșă, din nou cu Șoimul ca miză.",Han and Chewbacca find on the Lando and bring it to a sabacc revain match with the falcon once again as a stake. , Lexical error
6651,"Olandezii au început pregătirile pentru război, atât pe plan material cât și pe cel al întăririi moralului.","The people began their preparations for the war, both materially and in strengthening morals." , Lexical error
5651,Britanicii au forțat gardienii SS rămași în lagăr să adune cadavrele și să le îngroape în gropi comune.,The British forced SS guards left in the camp to pick up the bodies and bury them in joint horns.  ,Lexical error
6653,Genul Malus cuprinde numeroase specii răspândite în emisfera nordică.,Genus Malus comprises numerous species spread in the northern hemisphere.  ,  Good translation
2299,"Lucrările celor din urmă afișau o artă mai variată și mai amplă, o artă care valorifica învățămintele trecutului.","The work of the latter showed more extensive and varied art, an art that makes use of the lessons of the past." , Good translation
1954,"Astfel Ezra se sacrifică și dispare împreună cu Thrawn, după ce meduzele zboară prin hiperspațiu spre o locație complet aleatorie și necunoscută.","This makes it sacrifices and disappears together with Thrawn, after the meats fly by hyperspace to an entirely random and unknown location." , Lexical error
3305,"Astfel, la 25 ianuarie 1475, a emis o scrisoare care a circulat la toți monarhii creștini din Europa.","Thus, on 25 January 1475, he issued a letter which moved on to all Christian monarchs in Europe.", Good translation
1009,Dronele militare capabile de acțiune autonomă sunt considerate pe scară largă o dotare utilă.,Military helmets capable of self-contained action are widely considered a useful fitting.   , Good translation
959,"Alți mari pictori/scriitori moderniști au fost și , prieten al poetului Fernando Pessoa, și care a pictat portretul acestuia.","Other big pictors / moderate writers were and, a friend of the Fernando Pessoa poet, who painted his portrait."   , Good translation
1328,Masculii își părăsesc grupurile familiale atunci când ajung la pubertate și pot trăi singuri sau cu alți masculi.,Males leave their family when they reach puberty and can live alone or with other males., Good translation
4980,"În cele din urmă, Rossmann devine un destoinic liftier la Hotel Occidental.",Rossmann is ultimately becoming a destoiner of the lift at Western Hotel., Lexical error
6018,Combatanții în zilele în care nu luptau nu aveau o altă ocupație decat sa scrie si sa trimita corespondență.,Dealers on days when they did not fight had no other decent occupation write and send correspondence. ,Lexical error
1965,Pentru Weizenbaum aceste idei sugerează că cercetarea IA ar devaloriza viața umană.,For Weizenbaum these ideas suggest that research IA would devalue human life. ,Grammatical error
3315,Anii 2000 au adus o revigorare a scenei mainstream și apariția unui număr mare de formații notabile.,"For years 2000, we have brought about a revival of the mainstream and the emergence of a large number of notable formations." ,   Grammatical error, Lexical error
481,"Alteori, în unul din colțuri este plasat pe lângă aceste obiecte străine și un obiect de storyline, care odată obținut garantează victoria.","Sometimes in one corner is placed alongside these foreign objects and an object of storyline, which once obtained guarantees victory."  , Grammatical error
1023,Congresul are calitatean necesară de a determina politică externă americană.,Congress has the necessary quality of determining US foreign policy.  ,Good translation
5658,"Croația are un sistem juridic cu trei niveluri, format din Curtea Supremă, Curțile Cantonale și cele municipale.","Croatia has a three-tier legal system consisting of the Supreme Court, Cantonal and municipal courts." ,Good translation
702,Una din pantere avea coada și o parte din spate lipsă.,One panic had a tail and a part of the back missing., Lexical error
4419,"Truman, Eisenhower, în parte dar nu total Lyndon Johnson, Ford, Bush Sr sunt președinții care au adoptat în totalitate sau parțial acest model.","Truman, Eisenhower, partly but not totally Lyndon Johnson, Ford, Bush Sr, is the chairpersons who have adopted all or part of this model." , Grammatical error
4732,"Ca urmare la acest proces, SUA a ocupat teritoriile Indienilor americani.","As a result of this process, the USA occupied the territories of US India."  , Lexical error
3150,Se pare că se bazează pe oasele picioarelor și umerilor pentru a transmite semnalele la urechea mijlocie.,It appears that it is based on bones of the feet and shoulders to transmit the signals to the middle ear.  ,  Good translation
2267,Arta asiriană se întâlnește și înflorește în orașe importante ca Assur și Ninive.,Asiatic arts meet and flourish in major cities such as Assur and Ninive. ,Good translation
